Line,LONGITUDE,LATITUDE,ELEV,LABEL,KML_STYLE,ELEVATION,Elev_filtered
D0,100.695433,14.2873131,22.1599998,76,style,22.16,22.1816042439331
D0,100.6952014,14.2873148,22.2980003,77,style,22.298,22.2180535405214
D0,100.6949697,14.2873164,21.8549995,78,style,21.855,22.248839453715
D0,100.6946455,14.2873188,22.7360001,79,style,22.736,22.2750749033311
D0,100.6946445,14.2871829,22.0160007,80,style,22.016,22.2806313715416
D0,100.6946431,14.2869572,22.0160007,81,style,22.016,22.2691341665421
D0,100.6948748,14.2869556,22.8799992,82,style,22.88,22.230029687261
D0,100.6951065,14.2869539,22.1599998,83,style,22.16,22.1423110372103
D0,100.6953382,14.2869523,21.8719997,84,style,21.872,22.0243785873557
D0,100.6953938,14.2869519,21.8029995,85,style,21.803,21.9041051682717
D0,100.6953938,14.2869519,21.9120007,86,style,21.912,21.7978147679513
D0,100.6954494,14.2869515,21.9120007,87,style,21.912,21.7144544739141
D0,100.6954494,14.2869515,21.7339993,88,style,21.734,21.6721910617799
D0,100.6955699,14.2869506,21.5839996,89,style,21.584,21.7052942450788
D0,100.6958016,14.286949,20.5760002,90,style,20.576,21.8534251879057
D0,100.6960333,14.2869473,20,91,style,20,22.127898500522
D0,100.696265,14.2869457,27.8250008,92,style,27.825,22.4173805682357
D0,100.6964966,14.286944,20.4319992,93,style,20.432,22.5375144470508
D0,100.6967283,14.2869424,22.1599998,94,style,22.16,22.5938942726294
D0,100.69696,14.2869407,21.7280006,95,style,21.728,22.634641970149
D0,100.6971917,14.2869391,21.6000004,96,style,21.6,22.6287505729922
D0,100.6974234,14.2869374,27.2000008,97,style,27.2,22.4603929024377
D0,100.6976551,14.2869358,21.5839996,98,style,21.584,22.009041160355
D0,100.6978868,14.2869341,19.7119999,99,style,19.712,21.4459114928953
D0,100.6981185,14.2869325,20.8640003,100,style,20.864,20.9639788955974
D0,100.6983502,14.2869308,20.8379993,101,style,20.838,20.6318739302078
D0,100.6985819,14.2869292,19.4239998,102,style,19.424,20.4860988083815
D0,100.6988136,14.2869275,19.5739994,103,style,19.574,20.5575295180266
D0,100.6990453,14.2869259,21.8929996,104,style,21.893,20.7932787356886
D0,100.699277,14.2869242,21.1520004,105,style,21.152,21.0755175443102
D0,100.6995087,14.2869225,21.7280006,106,style,21.728,21.3446143267491
D0,100.6997403,14.2869209,21.5839996,107,style,21.584,21.5707547452017
D0,100.7000099,14.286919,21.4400005,108,style,21.44,21.7511789685893
D0,100.7000085,14.2867299,21.5839996,109,style,21.584,21.8852136278977
D0,100.7000072,14.2865575,23.1679993,110,style,23.168,21.9466406166547
D0,100.6997206,14.2865595,21.8719997,111,style,21.872,21.9043305934411
D0,100.6994889,14.2865612,21.5839996,112,style,21.584,21.8030191053718
D0,100.6992572,14.2865628,21.2959995,113,style,21.296,21.7019919979652
D0,100.6990256,14.2865645,21.4400005,114,style,21.44,21.6386284665246
D0,100.6987939,14.2865661,21.7280006,115,style,21.728,21.616280780291
D0,100.6985622,14.2865678,21.7280006,116,style,21.728,21.6201547644327
D0,100.6983305,14.2865694,21.7280006,117,style,21.728,21.6413911382492
D0,100.6980988,14.2865711,21.4400005,118,style,21.44,21.6816257714358
D0,100.6978671,14.2865727,21.5839996,119,style,21.584,21.7460387822064
D0,100.6976354,14.2865744,22.0160007,120,style,22.016,21.8224447386719
D0,100.697552,14.286575,21.9120007,121,style,21.912,21.887054448294
D0,100.697552,14.286575,22.0559998,122,style,22.056,21.9266975154483
D0,100.6974964,14.2865754,22.0559998,123,style,22.056,21.935247543722
D0,100.6974964,14.2865754,21.8430004,124,style,21.843,21.9176266024719
D0,100.6974037,14.286576,21.7280006,125,style,21.728,21.8877181895086
D0,100.697172,14.2865777,22.0160007,126,style,22.016,21.8537812669235
D0,100.6969403,14.2865793,21.8719997,127,style,21.872,21.8148867863512
D0,100.6967086,14.286581,22.448,128,style,22.448,21.7792101987002
D0,100.6964769,14.2865826,20.4319992,129,style,20.432,21.7725846446955
D0,100.6963101,14.2865838,21.3649998,130,style,21.365,21.8440380612977
D0,100.6963101,14.2865838,22.7759991,131,style,22.776,21.9563886048212
D0,100.6962545,14.2865842,22.7759991,132,style,22.776,22.0318356733354
D0,100.6962545,14.2865842,21.6760006,133,style,21.676,22.0516381956775
D0,100.6962452,14.2865843,21.7280006,134,style,21.728,22.054065609121
D0,100.6960136,14.2865859,22.3040009,135,style,22.304,22.0593131165198
D0,100.6957819,14.2865876,21.8719997,136,style,21.872,22.0636556915831
D0,100.6955502,14.2865892,21.7280006,137,style,21.728,22.0710520785739
D0,100.6953185,14.2865909,22.8799992,138,style,22.88,22.0710445557313
D0,100.6950868,14.2865925,21.8719997,139,style,21.872,22.0405935919343
D0,100.6948551,14.2865942,21.8719997,140,style,21.872,22.0020625911713
D0,100.6946401,14.2865957,21.8719997,141,style,21.872,21.9778902655201
D0,100.6946383,14.2863535,21.8719997,142,style,21.872,21.9772697566895
D0,100.6946374,14.2862342,22.0139999,143,style,22.014,21.9984126495561
D0,100.6949785,14.2862318,21.8719997,144,style,21.872,22.0310074966323
D0,100.6952102,14.2862301,21.8719997,145,style,21.872,22.0613773862385
D0,100.6954419,14.2862285,23.0240002,146,style,23.024,22.0623484063226
D0,100.6956736,14.2862268,21.7280006,147,style,21.728,22.0074988873677
D0,100.6959053,14.2862252,21.8719997,148,style,21.872,21.9267026615418
D0,100.696137,14.2862235,21.7280006,149,style,21.728,21.8463161173909
D0,100.6963687,14.2862219,21.7280006,150,style,21.728,21.7824185492786
D0,100.6966004,14.2862202,21.7280006,151,style,21.728,21.7413828235623
D0,100.6968321,14.2862186,21.7280006,152,style,21.728,21.7237589209649
D0,100.6970638,14.2862169,21.5839996,153,style,21.584,21.7283683428012
D0,100.6972955,14.2862153,21.8719997,154,style,21.872,21.7516861428823
D0,100.6975272,14.2862136,21.7280006,155,style,21.728,21.7826387344349
D0,100.6977588,14.286212,21.8719997,156,style,21.872,21.8148566698732
D0,100.6979905,14.2862103,21.8719997,157,style,21.872,21.8412855391031
D0,100.6982222,14.2862087,21.8719997,158,style,21.872,21.85828174948
