Waypoint,Latitude,Longitude,ELEV,ELEV+5,try
40,3.975098133899991,102.28592540459998,272.9842987060547,282.9842987060547,282.9842987060547
41,3.97509887680001,102.2861505202,289.0104064941406,299.0104064941406,299.0104064941406
42,3.975099893399991,102.2864585721,298.8028259277344,308.8028259277344,308.8028259277344
43,3.974557693500011,102.28646034589995,284.405029296875,294.405029296875,294.405029296875
44,3.9745566770999994,102.2861522941,268.3109130859375,278.3109130859375,278.3109130859375
45,3.974556320927313,102.28604436576676,256.7062397432678,266.7062397432678,266.7062397432678
46,3.9745562318841214,102.28601738368349,256.7062397432678,266.7062397432678,266.7062397432678
47,3.9745562318841214,102.28601738368349,254.8121795654297,264.8121795654297,264.8121795654297
48,3.974556142840957,102.28599040160016,254.8121795654297,264.8121795654297,264.8121795654297
49,3.974556142840957,102.28599040160016,250.9039030719329,260.90390307193286,260.90390307193286
50,3.974556053797792,102.28596341951685,250.9039030719329,260.90390307193286,260.90390307193286
51,3.974556053797792,102.28596341951685,248.4916839599609,258.49168395996094,258.49168395996094
52,3.974555964754627,102.28593643743356,248.4916839599609,258.49168395996094,258.49168395996094
53,3.974555964754627,102.28593643743356,245.101566400598,255.101566400598,255.101566400598
54,3.974555934200005,102.2859271787,244.1060485839844,254.1060485839844,254.1060485839844
55,3.974555755931442,102.28587315932027,242.73749828658865,252.73749828658865,252.73749828658865
56,3.974555755931442,102.28587315932027,243.56051635742188,253.56051635742188,253.56051635742188
57,3.974555577662904,102.2858191399406,243.56051635742188,253.56051635742188,253.56051635742188
58,3.974555577662904,102.2858191399406,241.3689479891929,251.3689479891929,251.3689479891929
59,3.974555191300011,102.2857020633,238.4028778076172,248.4028778076172,248.4028778076172
60,3.9745544483999926,102.28547694789997,244.70138549804688,254.70138549804688,254.70138549804688
61,3.974553705400002,102.28525183249998,228.75241088867188,238.75241088867188,238.75241088867188
62,3.9745529622999904,102.285026717,224.31494140625,234.31494140625,234.31494140625
63,3.974552219100007,102.2848016016,216.2024078369141,226.2024078369141,226.2024078369141
64,3.974551475899998,102.28457648619997,200.01443481445312,210.01443481445312,210.01443481445312
65,3.974550732699989,102.28435137079998,189.4175262451172,199.4175262451172,199.4175262451172
66,3.974549989299987,102.2841262554,182.3466796875,192.3466796875,192.3466796875
67,3.97454924590001,102.28390114,169.2747039794922,179.2747039794922,179.2747039794922
68,3.974548502500008,102.2836760246,148.20928955078125,158.20928955078125,158.20928955078125
69,3.974547759000009,102.28345090919998,141.81731414794922,151.81731414794922,151.81731414794922
70,3.9745470153999887,102.2832257937,146.47240447998047,156.47240447998047,156.47240447998047
71,3.974546271799993,102.2830006783,151.20641326904297,161.20641326904297,161.20641326904297
72,3.974545528100001,102.2827755629,155.43389892578125,165.43389892578125,165.43389892578125
73,3.974544784300012,102.28255044749996,155.70445251464844,165.70445251464844,165.70445251464844
74,3.9745440404999983,102.2823253321,157.22889709472656,167.22889709472656,167.22889709472656
75,3.9745432965999874,102.2821002167,148.91488647460938,158.91488647460938,158.91488647460938
76,3.974542552700002,102.28187510130002,143.74109649658203,153.74109649658203,153.74109649658203
77,3.9745418086999935,102.28164998590005,138.210693359375,148.210693359375,148.210693359375
78,3.974541064599991,102.2814248705,135.29832458496094,145.29832458496094,145.29832458496094
79,3.974540320500012,102.2811997551,131.60012817382812,141.60012817382812,141.60012817382812
80,3.9745395763000113,102.2809746397,126.64192199707033,136.6419219970703,136.6419219970703
81,3.974538831999989,102.28074952430002,116.43199920654295,126.43199920654295,126.43199920654295
82,3.974538087699991,102.2805244088,106.05933380126952,116.05933380126952,116.05933380126952
83,3.974537343299997,102.2802992934,106.14759826660156,116.14759826660156,116.14759826660156
84,3.974536598900003,102.280074178,105.94450378417967,115.94450378417967,115.94450378417967
85,3.974535854399987,102.27984906259996,105.65027618408205,115.65027618408205,115.65027618408205
86,3.9745351098,102.27962394719998,108.84214782714844,118.84214782714844,118.84214782714844
87,3.9745343652000127,102.2793988318,106.5616683959961,116.5616683959961,116.5616683959961
88,3.974533620500004,102.2791737164,106.24791717529295,116.24791717529295,116.24791717529295
89,3.974532875799994,102.278948601,106.9117431640625,116.9117431640625,116.9117431640625
90,3.974532130999988,102.27872348559998,114.9276351928711,124.9276351928711,124.9276351928711
91,3.974531386100011,102.27849837019998,117.92691802978516,127.92691802978516,127.92691802978516
92,3.974530641200008,102.2782732548,117.32266998291016,127.32266998291016,127.32266998291016
93,3.974529896200009,102.27804813950002,115.81208801269533,125.81208801269533,125.81208801269533
94,3.974529151099988,102.27782302400004,119.57147979736328,129.57147979736328,129.57147979736328
95,3.974528405999992,102.2775979086,113.03228759765624,123.03228759765624,123.03228759765624
96,3.974527660899996,102.2773727932,113.02104949951172,123.02104949951172,123.02104949951172
97,3.9745269156000074,102.2771476778,107.8536148071289,117.8536148071289,117.8536148071289
98,3.974526170299992,102.27692256240002,110.54287719726562,120.54287719726562,120.54287719726562
99,3.9745254250000026,102.27669744700005,132.03787231445312,142.03787231445312,142.03787231445312
100,3.974913027534463,102.2766779956432,130.58101654052734,140.58101654052734,140.58101654052734
101,3.975045604730751,102.27775168843807,112.4335708618164,122.4335708618164,122.4335708618164
102,3.975770500971787,102.28150162135653,132.4239959716797,142.4239959716797,142.4239959716797
